Id,ActivityDate,group_label,TotalSteps,TotalActivityMinutes
1503960366,2016-03-25 00:00:00+00:00,1,0.6542104926813956,0.19547011561400765
1503960366,2016-03-26 00:00:00+00:00,0,1.7226039288663337,1.6239686343271489
1503960366,2016-03-27 00:00:00+00:00,1,0.9521374099333648,0.8977783886127502
1503960366,2016-03-28 00:00:00+00:00,1,1.034621032501176,0.5162675825985193
1503960366,2016-03-29 00:00:00+00:00,1,0.8344059879794472,0.5281909381888413
1503960366,2016-03-30 00:00:00+00:00,1,0.6482041718457132,0.26285450490169393
1503960366,2016-03-31 00:00:00+00:00,1,0.8710746808741757,0.40235957549078316
1503960366,2016-04-01 00:00:00+00:00,1,0.8720947490725767,0.5281909381888413
1503960366,2016-04-02 00:00:00+00:00,1,0.6971258260836017,0.5460526593063834
1503960366,2016-04-03 00:00:00+00:00,1,0.4769104528170806,0.7407549344286403
1503960366,2016-04-04 00:00:00+00:00,0,1.2504298236764708,0.9208769955545051
1503960366,2016-04-05 00:00:00+00:00,0,1.2962182945263694,1.1212859529517667
1503960366,2016-04-06 00:00:00+00:00,1,0.8229322776281716,0.22615452437630898
1503960366,2016-04-07 00:00:00+00:00,1,0.5100154525827555,-0.06615779931256478
1503960366,2016-04-08 00:00:00+00:00,1,0.915962701383392,0.5935489776785222
1503960366,2016-04-09 00:00:00+00:00,1,0.9009245243390859,0.47443668379899634
1503960366,2016-04-10 00:00:00+00:00,1,0.4843864205774097,0.18317021331983846
1503960366,2016-04-11 00:00:00+00:00,1,0.6517380895081033,0.15852499298508824
1624580081,2016-03-25 00:00:00+00:00,3,-1.4100996366926692,-1.189669451428347
1624580081,2016-03-26 00:00:00+00:00,4,-1.7843055500494789,-1.791908553280271
1624580081,2016-03-27 00:00:00+00:00,3,-1.3529274996418577,-1.2577125856755391
1624580081,2016-03-28 00:00:00+00:00,3,-1.378834660021995,-1.3893439354409034
1624580081,2016-03-29 00:00:00+00:00,4,-1.498064667336623,-1.6257124752807002
1624580081,2016-03-30 00:00:00+00:00,4,-1.455536868333096,-1.4770187422275411
1624580081,2016-03-31 00:00:00+00:00,3,-0.6618596817734872,-0.813944434443339
1624580081,2016-04-01 00:00:00+00:00,2,0.3291918625954668,-0.48706457929714614
1624580081,2016-04-02 00:00:00+00:00,4,-1.4966635019041963,-1.4448857808532793
1624580081,2016-04-03 00:00:00+00:00,3,-1.0757467703107422,-0.9267797679676703
1624580081,2016-04-04 00:00:00+00:00,1,1.8495938519950617,-0.16780758497759818
1624580081,2016-04-05 00:00:00+00:00,4,-1.5761006118573897,-1.5587381697919978
1624580081,2016-04-06 00:00:00+00:00,4,-1.7043794308244717,-1.7205470341166247
1624580081,2016-04-07 00:00:00+00:00,4,-1.661484054517826,-1.729347450395666
1624580081,2016-04-08 00:00:00+00:00,3,-0.24524516599238225,-1.0274100516779434
1624580081,2016-04-09 00:00:00+00:00,3,-0.896308282767364,-1.1821728211513887
1624580081,2016-04-10 00:00:00+00:00,3,-0.8092363728354237,-0.48706457929714614
1624580081,2016-04-11 00:00:00+00:00,2,0.47399009765237726,-0.8209335686515792
1644430081,2016-04-01 00:00:00+00:00,1,-0.6306432281791896,1.8584724956026226
1644430081,2016-04-02 00:00:00+00:00,0,2.1065597692535842,2.459902768183614
1644430081,2016-04-03 00:00:00+00:00,0,0.9815913413753741,1.161014901577082
1644430081,2016-04-04 00:00:00+00:00,3,-1.1014815322026534,-1.295984244920761
1644430081,2016-04-05 00:00:00+00:00,1,0.4595467969951222,0.046849196556421085
1644430081,2016-04-06 00:00:00+00:00,2,0.10382829523053656,-0.1486584627079845
1644430081,2016-04-07 00:00:00+00:00,1,0.6827401508521224,0.3600943765202958
1644430081,2016-04-08 00:00:00+00:00,2,0.06345824448622792,-0.1805972989984035
1644430081,2016-04-09 00:00:00+00:00,1,1.1346338862970156,0.6762070950030914
1644430081,2016-04-10 00:00:00+00:00,4,-1.5783188704207498,-1.9037957090830444
1844505072,2016-04-01 00:00:00+00:00,2,-0.13899777892958945,-0.00320608153640056
1844505072,2016-04-02 00:00:00+00:00,2,-0.46048518011565576,-0.21265554030339773
1844505072,2016-04-03 00:00:00+00:00,3,-1.0952336164238845,-1.0784576354013335
1844505072,2016-04-04 00:00:00+00:00,4,-2.3348296183588655,-2.324469545819364
1844505072,2016-04-06 00:00:00+00:00,4,-2.3098355133028856,-2.299996328483598
1844505072,2016-04-07 00:00:00+00:00,2,-0.24524516599238225,-0.040925118992231085
1844505072,2016-04-08 00:00:00+00:00,2,-0.472081656440077,-0.48706457929714614
1844505072,2016-04-09 00:00:00+00:00,3,-0.549714422307897,-0.7375850193610596
1844505072,2016-04-10 00:00:00+00:00,2,-0.2001181704419731,0.053087458998078485
1844505072,2016-04-11 00:00:00+00:00,2,-0.4462132290339686,-0.2900990711913111
1927972279,2016-04-01 00:00:00+00:00,3,-0.7078122218794529,-0.5337726297412392
1927972279,2016-04-02 00:00:00+00:00,2,-0.3941480677580809,-0.18699930913442295
1927972279,2016-04-03 00:00:00+00:00,3,-0.9960938607612708,-1.0056865110106856
1927972279,2016-04-04 00:00:00+00:00,3,-1.2384571498778558,-1.137446795367201
1927972279,2016-04-05 00:00:00+00:00,3,-1.2745316612963227,-1.2883017950172242
1927972279,2016-04-06 00:00:00+00:00,4,-1.6044635481093228,-1.5670275944780008
1927972279,2016-04-07 00:00:00+00:00,4,-1.8051556151785202,-1.8284876418182276
1927972279,2016-04-08 00:00:00+00:00,4,-1.9242639340968852,-1.9134389026409044
