user/id,createdAt,group_label,steps,intensity
,2023-05-30 00:00:02.467000+00:00,3,0.37133606781033685,-1.1707942591627334
,2023-05-31 00:00:02.591000+00:00,3,0.6715304940766291,-1.0325351397210865
,2023-06-01 00:00:02.353000+00:00,1,0.3093411569711275,0.6578663730847657
,2023-06-02 00:00:02.440000+00:00,3,0.8262674397295477,-1.3255500838683147
,2023-06-03 00:00:02.214000+00:00,2,-0.12740791487137224,0.20228152302050184
,2023-06-04 00:00:02.308000+00:00,1,1.6140524148149387,0.5501332310341054
,2023-06-05 00:00:02.395000+00:00,3,-0.16967280166043053,-1.0325351397210865
,2023-06-06 00:00:02.569000+00:00,2,-0.3274464588765322,0.15893434068211643
,2023-06-07 00:00:02.572000+00:00,3,0.20731109108983878,-1.1707942591627334
,2023-06-08 00:00:02.959000+00:00,3,0.11738349887429278,-1.3255500838683147
,2023-06-09 00:00:02.481000+00:00,3,0.1687115267182096,-1.0325351397210865
,2023-06-10 00:00:02.499000+00:00,0,3.283595242529534,1.923418269874122
,2023-06-11 00:00:02.285000+00:00,1,1.5767024021636755,1.351858885853642
,2023-06-12 00:00:02.388000+00:00,2,-0.11165582261475643,0.11352086463555386
,2023-06-23 00:00:02.118000+00:00,2,-0.2233176239780545,-0.09271448750926989
,2023-06-25 00:15:02.145000+00:00,1,-0.005098190238644059,1.6300699908270169
,2023-06-27 00:15:02.196000+00:00,2,-0.16535407160892293,-0.2141334466301682
,2023-06-29 00:15:02.236000+00:00,3,-0.9683439542017401,-1.500563089463584
,2023-07-01 00:15:02.259000+00:00,2,0.23212050941847615,0.24372074139496686
,2023-07-02 00:15:02.430000+00:00,1,0.6884326222988415,1.1206017597115785
,2023-07-03 00:15:02.098000+00:00,1,0.620424399199492,1.4167657015998578
,2023-07-09 00:15:02.185000+00:00,3,-0.47134514674148126,-0.7948039589252286
,2023-07-11 00:15:02.258000+00:00,2,-0.5702332858403032,-0.5086645582820608
,2023-07-12 00:15:02.563000+00:00,3,-0.2981041254785005,-1.3255500838683147
,2023-07-13 00:15:02.655000+00:00,1,0.4784184538769436,1.3011195513803506
,2023-07-16 00:15:02.020000+00:00,2,-2.281678591649372,0.3579356980057825
,2023-07-19 00:15:02.368000+00:00,2,-0.5483648634746999,0.3579356980057825
,2023-09-18 14:30:03.398000+00:00,3,-0.8773962272793188,-1.1707942591627334
,2023-09-25 16:15:03.370000+00:00,3,-0.18950619248010023,-1.500563089463584
,2023-10-04 15:45:03.861000+00:00,2,0.15754150860622382,0.20228152302050184
,2023-10-05 00:15:03.418000+00:00,1,0.04377337338291396,0.8964725270654302
,2023-10-06 00:15:02.344000+00:00,3,0.24668601967672715,-0.7948039589252286
,2023-10-08 00:15:02.475000+00:00,1,0.8810953859738085,0.6578663730847657
,2023-10-09 00:15:02.416000+00:00,1,0.5641245659677319,0.6578663730847657
,2023-10-10 00:00:02.493000+00:00,2,-0.545867192875512,0.5209061572635109
,2023-10-11 00:00:02.842000+00:00,1,0.13918744755309428,1.17359227198203
109.0,2023-10-11 18:15:03.526000+00:00,2,-1.611934563803848,-0.28058221279960766
109.0,2023-10-14 00:00:03.109000+00:00,4,-3.040614673142297,-1.500563089463584
109.0,2023-10-16 00:00:02.712000+00:00,2,-0.7747427822050337,0.2833935761772744
109.0,2023-10-17 00:00:02.600000+00:00,2,-0.42192225925663185,0.6057317278233623
109.0,2023-10-18 00:00:02.762000+00:00,1,0.5319711215450831,1.3897571811069043
