ActivityHour,Id,Calories,TotalIntensity,AverageIntensity,StepTotal,hour,dayofyear,dayofweek,dayofmonth,isweekend
2016-03-14 16:00:00+00:00,2347167796,87,15,0.25,383,16,74,0,14,False
2016-03-14 17:00:00+00:00,2347167796,104,24,0.4,617,17,74,0,14,False
2016-03-14 18:00:00+00:00,2347167796,145,36,0.6,1458,18,74,0,14,False
2016-03-14 19:00:00+00:00,2347167796,134,33,0.55,1266,19,74,0,14,False
2016-03-14 20:00:00+00:00,2347167796,129,36,0.6,807,20,74,0,14,False
2016-03-14 21:00:00+00:00,2347167796,170,50,0.833333,1600,21,74,0,14,False
2016-03-14 22:00:00+00:00,2347167796,67,5,0.083333,36,22,74,0,14,False
2016-03-14 23:00:00+00:00,2347167796,57,0,0.0,0,23,74,0,14,False
2016-03-15 00:00:00+00:00,2347167796,57,0,0.0,0,0,75,1,15,False
2016-03-15 01:00:00+00:00,2347167796,58,0,0.0,0,1,75,1,15,False
2016-03-15 02:00:00+00:00,2347167796,57,0,0.0,0,2,75,1,15,False
2016-03-15 03:00:00+00:00,2347167796,60,2,0.033333,23,3,75,1,15,False
2016-03-15 04:00:00+00:00,2347167796,57,0,0.0,0,4,75,1,15,False
2016-03-15 05:00:00+00:00,2347167796,57,0,0.0,0,5,75,1,15,False
2016-03-15 06:00:00+00:00,2347167796,58,1,0.016667,6,6,75,1,15,False
2016-03-15 07:00:00+00:00,2347167796,105,24,0.4,465,7,75,1,15,False
2016-03-15 08:00:00+00:00,2347167796,134,30,0.5,1108,8,75,1,15,False
2016-03-15 09:00:00+00:00,2347167796,83,14,0.233333,198,9,75,1,15,False
2016-03-15 10:00:00+00:00,2347167796,72,9,0.15,79,10,75,1,15,False
2016-03-15 11:00:00+00:00,2347167796,85,16,0.266667,215,11,75,1,15,False
2016-03-15 12:00:00+00:00,2347167796,77,11,0.183333,112,12,75,1,15,False
2016-03-15 13:00:00+00:00,2347167796,85,11,0.183333,233,13,75,1,15,False
2016-03-15 14:00:00+00:00,2347167796,75,10,0.166667,135,14,75,1,15,False
2016-03-15 15:00:00+00:00,2347167796,75,11,0.183333,89,15,75,1,15,False
2016-03-15 16:00:00+00:00,2347167796,90,17,0.283333,372,16,75,1,15,False
2016-03-15 17:00:00+00:00,2347167796,103,24,0.4,456,17,75,1,15,False
2016-03-15 18:00:00+00:00,2347167796,207,73,1.216667,3019,18,75,1,15,False
2016-03-15 19:00:00+00:00,2347167796,263,95,1.583333,3795,19,75,1,15,False
2016-03-15 20:00:00+00:00,2347167796,75,10,0.166667,160,20,75,1,15,False
2016-03-15 21:00:00+00:00,2347167796,64,4,0.066667,50,21,75,1,15,False
2016-03-15 22:00:00+00:00,2347167796,58,1,0.016667,4,22,75,1,15,False
2016-03-15 23:00:00+00:00,2347167796,59,2,0.033333,11,23,75,1,15,False
2016-03-16 00:00:00+00:00,2347167796,67,7,0.116667,59,0,76,2,16,False
2016-03-16 01:00:00+00:00,2347167796,57,0,0.0,0,1,76,2,16,False
2016-03-16 02:00:00+00:00,2347167796,57,0,0.0,0,2,76,2,16,False
2016-03-16 03:00:00+00:00,2347167796,57,0,0.0,0,3,76,2,16,False
2016-03-16 04:00:00+00:00,2347167796,57,0,0.0,0,4,76,2,16,False
2016-03-16 05:00:00+00:00,2347167796,57,0,0.0,0,5,76,2,16,False
2016-03-16 06:00:00+00:00,2347167796,58,1,0.016667,10,6,76,2,16,False
2016-03-16 07:00:00+00:00,2347167796,108,32,0.533333,480,7,76,2,16,False
2016-03-16 08:00:00+00:00,2347167796,140,36,0.6,1338,8,76,2,16,False
2016-03-16 09:00:00+00:00,2347167796,78,13,0.216667,116,9,76,2,16,False
2016-03-16 10:00:00+00:00,2347167796,70,7,0.116667,59,10,76,2,16,False
2016-03-16 11:00:00+00:00,2347167796,68,7,0.116667,56,11,76,2,16,False
2016-03-16 12:00:00+00:00,2347167796,85,16,0.266667,277,12,76,2,16,False
2016-03-16 13:00:00+00:00,2347167796,93,20,0.333333,402,13,76,2,16,False
2016-03-16 14:00:00+00:00,2347167796,77,12,0.2,136,14,76,2,16,False
2016-03-16 15:00:00+00:00,2347167796,61,1,0.016667,8,15,76,2,16,False
2016-03-16 16:00:00+00:00,2347167796,69,7,0.116667,55,16,76,2,16,False
2016-03-16 17:00:00+00:00,2347167796,100,24,0.4,477,17,76,2,16,False
2016-03-16 18:00:00+00:00,2347167796,162,38,0.633333,1963,18,76,2,16,False
2016-03-16 19:00:00+00:00,2347167796,57,0,0.0,0,19,76,2,16,False
2016-03-16 20:00:00+00:00,2347167796,58,1,0.016667,9,20,76,2,16,False
2016-03-16 21:00:00+00:00,2347167796,272,102,1.7,3342,21,76,2,16,False
2016-03-16 22:00:00+00:00,2347167796,121,33,0.55,1219,22,76,2,16,False
2016-03-16 23:00:00+00:00,2347167796,58,1,0.016667,10,23,76,2,16,False
2016-03-17 00:00:00+00:00,2347167796,57,0,0.0,0,0,77,3,17,False
